Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
19807          ,34322          ,17524     ,16798     ,2691      ,2666      ,2748      ,2912      ,3130      ,2737      ,2487      ,2379      ,2003      ,2100      ,1983      ,1659      ,1393      ,1102      ,911       ,693       ,728       
19809          ,21738          ,11255     ,10483     ,3153      ,2684      ,2586      ,2665      ,2263      ,1747      ,1308      ,1035      ,787       ,767       ,621       ,569       ,408       ,381       ,281       ,240       ,243       
19821          ,29496          ,15397     ,14099     ,3653      ,3213      ,3150      ,3289      ,3011      ,2623      ,2136      ,1898      ,1432      ,1166      ,951       ,813       ,698       ,555       ,388       ,271       ,249       
19824          ,20419          ,10455     ,9964      ,2419      ,2205      ,2258      ,2162      ,1857      ,1602      ,1385      ,1222      ,1027      ,955       ,859       ,644       ,551       ,459       ,342       ,254       ,218       
19845          ,16397          ,8035      ,8362      ,1608      ,1570      ,1661      ,1638      ,1557      ,1303      ,1252      ,1159      ,951       ,911       ,757       ,580       ,462       ,336       ,254       ,202       ,196       
20001          ,463219         ,226033    ,237186    ,44516     ,45106     ,46245     ,46075     ,42966     ,40249     ,34359     ,30607     ,27309     ,25675     ,22874     ,18345     ,13670     ,10042     ,6562      ,4424      ,4195      
20011          ,93917          ,45843     ,48074     ,9677      ,9592      ,9471      ,9356      ,9008      ,7975      ,5930      ,5377      ,5351      ,5088      ,4516      ,3648      ,2975      ,2285      ,1554      ,1103      ,1011      
20013          ,50450          ,25634     ,24816     ,5765      ,5647      ,5575      ,5240      ,4755      ,3910      ,2835      ,2625      ,2410      ,2564      ,2322      ,1893      ,1506      ,1243      ,927       ,652       ,581       
20032          ,19255          ,9961      ,9294      ,2633      ,2441      ,2306      ,1940      ,1843      ,1456      ,1035      ,846       ,833       ,860       ,718       ,600       ,512       ,436       ,352       ,228       ,216       
20045          ,13388          ,7083      ,6305      ,1674      ,1531      ,1485      ,1495      ,1311      ,994       ,840       ,756       ,675       ,623       ,532       ,418       ,323       ,281       ,183       ,142       ,125       
20060          ,37870          ,19249     ,18621     ,4693      ,4524      ,4445      ,3919      ,3538      ,2976      ,2395      ,2023      ,1861      ,1730      ,1620      ,1324      ,879       ,756       ,539       ,346       ,302       
20175          ,30585          ,16297     ,14288     ,4025      ,3797      ,3617      ,3276      ,2910      ,2436      ,1635      ,1361      ,1278      ,1340      ,1181      ,1029      ,841       ,688       ,452       ,355       ,364       
20178          ,19375          ,9778      ,9597      ,2263      ,2219      ,2200      ,1915      ,1789      ,1531      ,1128      ,1078      ,996       ,974       ,867       ,671       ,546       ,454       ,300       ,220       ,224       
20228          ,24035          ,11934     ,12101     ,2815      ,2662      ,2499      ,2422      ,2212      ,1917      ,1415      ,1359      ,1245      ,1214      ,999       ,848       ,685       ,619       ,428       ,367       ,329       
20238          ,26587          ,13573     ,13014     ,3230      ,3029      ,2896      ,2826      ,2493      ,2162      ,1592      ,1442      ,1330      ,1226      ,1137      ,949       ,719       ,570       ,398       ,303       ,285       
20250          ,23013          ,11599     ,11414     ,2916      ,2732      ,2680      ,2473      ,2189      ,1810      ,1428      ,1262      ,1207      ,1146      ,950       ,674       ,498       ,406       ,272       ,188       ,182       
20295          ,16856          ,8898      ,7958      ,1565      ,1537      ,1530      ,1592      ,1568      ,1498      ,1169      ,1054      ,946       ,974       ,902       ,759       ,607       ,430       ,314       ,209       ,202       
20310          ,6789           ,3454      ,3335      ,639       ,635       ,635       ,640       ,647       ,530       ,406       ,396       ,363       ,387       ,343       ,287       ,257       ,215       ,173       ,126       ,110       
20383          ,12760          ,6515      ,6245      ,1390      ,1395      ,1408      ,1241      ,1185      ,987       ,742       ,625       ,675       ,704       ,612       ,508       ,443       ,326       ,220       ,146       ,153       
20400          ,22311          ,11553     ,10758     ,2524      ,2410      ,2385      ,2184      ,2156      ,1783      ,1552      ,1353      ,1159      ,1171      ,1005      ,804       ,589       ,448       ,335       ,248       ,205       
20443          ,14855          ,7589      ,7266      ,1695      ,1648      ,1654      ,1544      ,1296      ,1108      ,914       ,847       ,782       ,814       ,706       ,553       ,443       ,335       ,222       ,152       ,142       
20517          ,17268          ,8783      ,8485      ,1812      ,1754      ,1723      ,1656      ,1602      ,1415      ,1139      ,1041      ,940       ,967       ,830       ,685       ,532       ,460       ,283       ,214       ,215       
20550          ,18022          ,9046      ,8976      ,2080      ,2028      ,1963      ,1833      ,1790      ,1543      ,1020      ,900       ,914       ,872       ,765       ,651       ,555       ,430       ,295       ,197       ,186       
20570          ,22837          ,12093     ,10744     ,3194      ,2906      ,2727      ,2819      ,2275      ,1863      ,1422      ,1187      ,956       ,790       ,677       ,537       ,441       ,372       ,252       ,220       ,199       
20614          ,13994          ,7233      ,6761      ,1285      ,1242      ,1227      ,1270      ,1333      ,1142      ,894       ,886       ,814       ,862       ,738       ,597       ,504       ,407       ,330       ,238       ,225       
20621          ,22887          ,11705     ,11182     ,2614      ,2528      ,2540      ,2388      ,2011      ,1722      ,1420      ,1311      ,1202      ,1237      ,1063      ,844       ,684       ,517       ,344       ,240       ,222       
20710          ,25121          ,12680     ,12441     ,2558      ,2473      ,2392      ,2359      ,2554      ,2232      ,1734      ,1722      ,1630      ,1409      ,1171      ,939       ,698       ,496       ,346       ,220       ,188       
20750          ,13322          ,6803      ,6519      ,1448      ,1456      ,1470      ,1295      ,1236      ,1030      ,775       ,654       ,706       ,736       ,640       ,531       ,463       ,340       ,230       ,152       ,160       
20770          ,18650          ,9531      ,9119      ,2079      ,1934      ,1858      ,1875      ,1894      ,1537      ,1199      ,1236      ,1179      ,1021      ,787       ,612       ,480       ,344       ,261       ,188       ,166       
20787          ,13838          ,7068      ,6770      ,1507      ,1512      ,1527      ,1345      ,1285      ,1073      ,805       ,677       ,732       ,763       ,664       ,551       ,481       ,354       ,238       ,158       ,166       
23001          ,447668         ,217244    ,230424    ,40336     ,41016     ,41287     ,40994     ,41696     ,38745     ,34841     ,30581     ,25823     ,24820     ,23510     ,19546     ,15038     ,11023     ,7544      ,5258      ,5610      
23068          ,52156          ,27173     ,24983     ,6174      ,5757      ,5428      ,5252      ,5122      ,4294      ,3325      ,2918      ,2751      ,2744      ,2256      ,1761      ,1392      ,1061      ,709       ,610       ,602       
23079          ,21915          ,11417     ,10498     ,2594      ,2419      ,2281      ,2207      ,2152      ,1804      ,1397      ,1226      ,1156      ,1153      ,948       ,740       ,585       ,446       ,298       ,256       ,253       
23090          ,22036          ,11762     ,10274     ,2676      ,2340      ,2174      ,2229      ,2395      ,1891      ,1405      ,1207      ,1153      ,1116      ,973       ,702       ,537       ,441       ,316       ,241       ,240       
23162          ,92304          ,44932     ,47372     ,8131      ,8192      ,8224      ,8223      ,8411      ,7560      ,6494      ,5905      ,5391      ,5447      ,5350      ,4289      ,3201      ,2702      ,1853      ,1431      ,1500      
23168          ,15165          ,7899      ,7266      ,1460      ,1459      ,1464      ,1304      ,1252      ,1116      ,999       ,901       ,856       ,856       ,807       ,712       ,592       ,441       ,340       ,283       ,323       
23182          ,48841          ,24733     ,24108     ,4390      ,4290      ,4153      ,4117      ,4451      ,4199      ,3368      ,2880      ,2757      ,3072      ,2882      ,2316      ,1806      ,1358      ,1024      ,854       ,924       
23189          ,65471          ,33331     ,32140     ,6535      ,6416      ,6296      ,6128      ,6165      ,5224      ,4316      ,3799      ,3640      ,3745      ,3340      ,2684      ,2146      ,1714      ,1264      ,978       ,1081      
23300          ,15487          ,7847      ,7640      ,1334      ,1276      ,1243      ,1344      ,1345      ,1205      ,1065      ,1000      ,957       ,1000      ,912       ,745       ,600       ,481       ,396       ,289       ,295       
23350          ,15482          ,7557      ,7925      ,1880      ,1764      ,1668      ,1618      ,1511      ,1245      ,976       ,818       ,747       ,737       ,628       ,563       ,403       ,326       ,235       ,191       ,172       
23417          ,119061         ,59550     ,59511     ,12155     ,11881     ,11531     ,10905     ,11292     ,9733      ,7896      ,6966      ,6675      ,6647      ,5911      ,4865      ,3862      ,2950      ,2230      ,1694      ,1868      
23419          ,24471          ,12653     ,11818     ,3375      ,2990      ,2732      ,2602      ,2386      ,1868      ,1390      ,1251      ,1106      ,1040      ,989       ,797       ,637       ,455       ,338       ,261       ,254       
23464          ,14962          ,7491      ,7471      ,1481      ,1423      ,1384      ,1406      ,1364      ,1166      ,870       ,801       ,843       ,961       ,816       ,634       ,483       ,449       ,341       ,229       ,311       
23466          ,83181          ,40900     ,42281     ,9285      ,8854      ,8556      ,8180      ,8133      ,7536      ,6363      ,5397      ,4459      ,4093      ,3574      ,2868      ,2080      ,1427      ,942       ,692       ,742       
23500          ,27859          ,14295     ,13564     ,3562      ,3252      ,3001      ,2728      ,2740      ,2389      ,1761      ,1559      ,1439      ,1356      ,1159      ,920       ,654       ,476       ,341       ,267       ,255       
23555          ,67758          ,33628     ,34130     ,6886      ,6791      ,6567      ,6355      ,6561      ,5807      ,4469      ,3933      ,3639      ,3752      ,3360      ,2884      ,2122      ,1587      ,1146      ,915       ,984       
23570          ,39334          ,20235     ,19099     ,4566      ,4259      ,4001      ,3746      ,3733      ,3238      ,2621      ,2151      ,2011      ,1955      ,1691      ,1462      ,1250      ,884       ,676       ,538       ,552       
23574          ,30019          ,15762     ,14257     ,3844      ,3469      ,3202      ,3036      ,3013      ,2483      ,1847      ,1551      ,1419      ,1389      ,1176      ,1003      ,815       ,647       ,405       ,347       ,373       
23580          ,49179          ,25648     ,23531     ,6183      ,5744      ,5431      ,5092      ,4819      ,4131      ,3552      ,3210      ,2635      ,2179      ,1743      ,1390      ,1060      ,743       ,514       ,397       ,356       
23586          ,15114          ,7594      ,7520      ,1615      ,1562      ,1523      ,1440      ,1410      ,1228      ,944       ,808       ,758       ,818       ,667       ,563       ,507       ,408       ,317       ,245       ,301       
23660          ,90093          ,44687     ,45406     ,8482      ,8397      ,8247      ,8151      ,8354      ,7368      ,5857      ,5076      ,4824      ,5145      ,4736      ,4195      ,3473      ,2700      ,2003      ,1473      ,1612      
23670          ,43874          ,22540     ,21334     ,5872      ,5064      ,4622      ,4614      ,4687      ,3898      ,3069      ,2385      ,2056      ,1812      ,1575      ,1197      ,944       ,706       ,513       ,380       ,480       
23672          ,31942          ,16155     ,15787     ,3276      ,3127      ,3005      ,2989      ,3129      ,2761      ,2263      ,2066      ,1940      ,1933      ,1595      ,1125      ,855       ,633       ,503       ,368       ,374       
23675          ,35160          ,18146     ,17014     ,3928      ,3609      ,3332      ,3213      ,3331      ,2919      ,2276      ,1898      ,1858      ,1959      ,1721      ,1444      ,1099      ,858       ,698       ,490       ,527       
23678          ,27486          ,14068     ,13418     ,3021      ,2845      ,2704      ,2493      ,2403      ,2044      ,1620      ,1500      ,1510      ,1473      ,1365      ,1150      ,937       ,808       ,608       ,475       ,530       
23682          ,11172          ,5795      ,5377      ,1512      ,1328      ,1229      ,1081      ,1087      ,886       ,749       ,640       ,530       ,531       ,423       ,434       ,240       ,207       ,103       ,91        ,101       
23686          ,44068          ,22166     ,21902     ,4058      ,3953      ,3908      ,3954      ,4007      ,3448      ,2816      ,2587      ,2542      ,2674      ,2479      ,2054      ,1582      ,1354      ,992       ,779       ,881       
23807          ,102348         ,51985     ,50363     ,13118     ,12088     ,11243     ,10703     ,10167     ,8677      ,6791      ,5647      ,4733      ,4624      ,3877      ,3164      ,2469      ,1788      ,1249      ,1005      ,1005      
23815          ,38608          ,19952     ,18656     ,5844      ,5293      ,4742      ,4236      ,3643      ,2877      ,2105      ,1941      ,1347      ,1432      ,1150      ,1031      ,775       ,750       ,535       ,463       ,444       
23855          ,43956          ,22810     ,21146     ,5335      ,4952      ,4641      ,4421      ,4202      ,3589      ,2772      ,2400      ,2174      ,2212      ,1939      ,1582      ,1210      ,898       ,636       ,496       ,497       
25001          ,10910          ,5509      ,5401      ,886       ,885       ,880       ,846       ,873       ,853       ,629       ,582       ,616       ,655       ,635       ,636       ,536       ,425       ,361       ,291       ,321       
25019          ,5956           ,2996      ,2960      ,547       ,518       ,507       ,525       ,527       ,489       ,371       ,302       ,327       ,336       ,331       ,296       ,254       ,198       ,160       ,128       ,140       
25035          ,13514          ,6766      ,6748      ,1109      ,1026      ,1012      ,1162      ,1302      ,1182      ,730       ,730       ,782       ,819       ,815       ,726       ,566       ,443       ,380       ,344       ,386       
25040          ,12210          ,6354      ,5856      ,1027      ,992       ,984       ,879       ,1000      ,975       ,664       ,607       ,646       ,713       ,721       ,684       ,607       ,534       ,451       ,336       ,390       
25053          ,12330          ,6389      ,5941      ,1291      ,1240      ,1211      ,1160      ,1074      ,1064      ,853       ,660       ,617       ,673       ,600       ,508       ,432       ,304       ,265       ,191       ,187       
25086          ,2228           ,1093      ,1135      ,223       ,201       ,193       ,202       ,208       ,201       ,159       ,127       ,128       ,118       ,109       ,95        ,80        ,58        ,47        ,39        ,40        
25095          ,2508           ,1310      ,1198      ,246       ,236       ,221       ,261       ,252       ,203       ,143       ,132       ,149       ,119       ,100       ,112       ,92        ,94        ,65        ,36        ,47        
25099          ,11845          ,5951      ,5894      ,1320      ,1258      ,1292      ,1108      ,1132      ,867       ,754       ,753       ,742       ,602       ,553       ,489       ,309       ,195       ,227       ,127       ,117       
