Municipality   ,Population     ,Males     ,Females   ,0-4       ,5-9       ,10-14     ,15-19     ,20-24     ,25-29     ,30-34     ,35-39     ,40-44     ,45-49     ,50-54     ,55-59     ,60-64     ,65-69     ,70-74     ,75-79     ,80+       
50226          ,18150          ,8906      ,9244      ,1882      ,1928      ,1877      ,1593      ,1757      ,1581      ,1178      ,955       ,1019      ,1011      ,845       ,748       ,530       ,428       ,304       ,261       ,253       
50245          ,2236           ,1138      ,1098      ,246       ,232       ,218       ,210       ,215       ,180       ,133       ,128       ,129       ,123       ,101       ,80        ,69        ,56        ,48        ,35        ,33        
50251          ,6301           ,3391      ,2910      ,680       ,627       ,593       ,533       ,582       ,507       ,394       ,369       ,364       ,358       ,294       ,235       ,210       ,172       ,140       ,123       ,120       
50270          ,3437           ,1830      ,1607      ,395       ,389       ,374       ,333       ,298       ,284       ,202       ,205       ,190       ,185       ,150       ,127       ,81        ,78        ,56        ,44        ,46        
50287          ,13472          ,6902      ,6570      ,1431      ,1386      ,1344      ,1311      ,1215      ,1056      ,865       ,816       ,823       ,766       ,639       ,499       ,426       ,321       ,226       ,186       ,162       
5030           ,29770          ,15074     ,14696     ,2798      ,2756      ,2772      ,2568      ,2989      ,2532      ,2205      ,2106      ,1810      ,1579      ,1521      ,1124      ,950       ,685       ,570       ,418       ,387       
5031           ,22253          ,11473     ,10780     ,2459      ,2256      ,2123      ,2135      ,2208      ,1750      ,1495      ,1331      ,1206      ,1139      ,1012      ,887       ,835       ,498       ,401       ,259       ,259       
50313          ,63451          ,34043     ,29408     ,6798      ,6126      ,6009      ,5601      ,7117      ,5761      ,4943      ,4530      ,3552      ,3112      ,2535      ,2110      ,1740      ,1328      ,917       ,679       ,593       
50318          ,9403           ,4625      ,4778      ,831       ,830       ,795       ,770       ,808       ,797       ,671       ,571       ,617       ,643       ,573       ,464       ,323       ,261       ,176       ,128       ,145       
50325          ,17661          ,8532      ,9129      ,1698      ,1665      ,1625      ,1511      ,1467      ,1397      ,1225      ,1008      ,1067      ,1074      ,1063      ,780       ,644       ,483       ,369       ,291       ,294       
50330          ,11354          ,5745      ,5609      ,1445      ,1257      ,1159      ,1120      ,1025      ,916       ,681       ,660       ,590       ,530       ,456       ,401       ,347       ,258       ,186       ,160       ,163       
5034           ,46221          ,23541     ,22680     ,4374      ,4278      ,4281      ,4003      ,4375      ,4255      ,3500      ,2863      ,2735      ,2728      ,2399      ,1901      ,1545      ,1043      ,823       ,562       ,556       
50350          ,33812          ,17369     ,16443     ,3866      ,3722      ,3590      ,3216      ,2928      ,2633      ,2436      ,2396      ,1920      ,1723      ,1424      ,1165      ,933       ,698       ,482       ,359       ,321       
5036           ,9082           ,4587      ,4495      ,706       ,721       ,713       ,706       ,759       ,715       ,606       ,577       ,524       ,626       ,651       ,534       ,414       ,319       ,202       ,145       ,164       
50370          ,16539          ,8451      ,8088      ,1885      ,1699      ,1613      ,1488      ,1464      ,1340      ,1265      ,1219      ,976       ,859       ,700       ,584       ,480       ,367       ,252       ,187       ,161       
5038           ,11240          ,5784      ,5456      ,1323      ,1141      ,1069      ,1273      ,987       ,1000      ,738       ,559       ,578       ,541       ,497       ,419       ,362       ,244       ,212       ,152       ,145       
5040           ,17304          ,8903      ,8401      ,1747      ,1689      ,1583      ,1584      ,1531      ,1348      ,1089      ,952       ,860       ,910       ,998       ,916       ,704       ,564       ,330       ,236       ,263       
50400          ,9374           ,4973      ,4401      ,995       ,956       ,916       ,899       ,918       ,770       ,562       ,542       ,535       ,516       ,423       ,334       ,286       ,236       ,201       ,145       ,140       
5042           ,24724          ,12574     ,12150     ,2593      ,2458      ,2331      ,2212      ,2428      ,1956      ,1482      ,1398      ,1326      ,1258      ,1066      ,1074      ,891       ,677       ,575       ,466       ,533       
5044           ,7580           ,4018      ,3562      ,781       ,744       ,705       ,714       ,663       ,659       ,485       ,458       ,394       ,407       ,397       ,348       ,264       ,211       ,153       ,94        ,103       
5045           ,183716         ,92853     ,90863     ,22651     ,20714     ,19762     ,19983     ,18591     ,17034     ,13214     ,10913     ,9285      ,8116      ,7103      ,5303      ,4056      ,2773      ,1972      ,1169      ,1077      
50450          ,21442          ,10739     ,10703     ,2305      ,2186      ,2071      ,2033      ,2004      ,1688      ,1214      ,1184      ,1177      ,1160      ,993       ,820       ,732       ,613       ,520       ,381       ,361       
5051           ,41209          ,21034     ,20175     ,5084      ,4774      ,4645      ,4627      ,4225      ,3777      ,2845      ,2302      ,1962      ,1738      ,1578      ,1199      ,908       ,614       ,435       ,258       ,238       
5055           ,8578           ,4495      ,4083      ,1011      ,948       ,867       ,784       ,681       ,604       ,513       ,494       ,404       ,423       ,396       ,382       ,338       ,258       ,193       ,131       ,151       
50568          ,18678          ,9598      ,9080      ,2688      ,2439      ,2269      ,1904      ,1710      ,1483      ,1176      ,1034      ,860       ,789       ,629       ,524       ,389       ,286       ,199       ,162       ,137       
50573          ,33854          ,17596     ,16258     ,3433      ,3425      ,3440      ,3057      ,2931      ,3024      ,2285      ,2000      ,1826      ,2094      ,1661      ,1353      ,1061      ,830       ,564       ,451       ,419       
50577          ,9708           ,5354      ,4354      ,1052      ,1027      ,1026      ,879       ,843       ,811       ,790       ,736       ,593       ,529       ,439       ,308       ,215       ,163       ,123       ,96        ,78        
5059           ,4110           ,2123      ,1987      ,396       ,395       ,385       ,357       ,392       ,362       ,251       ,228       ,213       ,239       ,222       ,173       ,146       ,126       ,92        ,67        ,66        
50590          ,18701          ,10711     ,7990      ,2214      ,2108      ,2003      ,1812      ,1716      ,1577      ,1290      ,1173      ,1021      ,878       ,754       ,675       ,462       ,372       ,255       ,217       ,174       
50606          ,10628          ,5135      ,5493      ,1022      ,1002      ,978       ,909       ,883       ,840       ,737       ,607       ,642       ,646       ,640       ,469       ,388       ,291       ,222       ,175       ,177       
50680          ,9938           ,5301      ,4637      ,1189      ,1086      ,1036      ,931       ,924       ,743       ,669       ,581       ,627       ,576       ,511       ,347       ,248       ,185       ,122       ,82        ,81        
50683          ,8800           ,4606      ,4194      ,1115      ,1052      ,984       ,788       ,808       ,634       ,491       ,492       ,425       ,461       ,389       ,313       ,228       ,208       ,162       ,132       ,118       
50686          ,2191           ,1152      ,1039      ,252       ,232       ,219       ,199       ,195       ,179       ,169       ,166       ,130       ,114       ,91        ,73        ,57        ,43        ,29        ,23        ,20        
50689          ,24992          ,12267     ,12725     ,2439      ,2418      ,2374      ,1990      ,2011      ,1933      ,1694      ,1561      ,1533      ,1481      ,1400      ,1183      ,925       ,688       ,565       ,397       ,400       
50711          ,25908          ,13217     ,12691     ,2992      ,2785      ,2638      ,2413      ,2258      ,2076      ,1944      ,1915      ,1525      ,1342      ,1079      ,868       ,689       ,518       ,357       ,266       ,243       
5079           ,50836          ,25289     ,25547     ,4746      ,4678      ,4683      ,4540      ,4840      ,4433      ,4022      ,3658      ,3081      ,2764      ,2468      ,2002      ,1625      ,1179      ,885       ,607       ,625       
5086           ,6823           ,3615      ,3208      ,741       ,696       ,662       ,682       ,661       ,576       ,462       ,413       ,333       ,347       ,298       ,278       ,214       ,176       ,137       ,74        ,73        
5088           ,464614         ,224833    ,239781    ,38119     ,37748     ,38805     ,41354     ,45468     ,42055     ,38467     ,37652     ,32468     ,27693     ,24243     ,18916     ,13677     ,9804      ,7856      ,5398      ,4891      
5091           ,9188           ,4907      ,4281      ,909       ,910       ,919       ,826       ,912       ,831       ,705       ,591       ,494       ,475       ,444       ,357       ,281       ,190       ,146       ,103       ,95        
5093           ,17606          ,9001      ,8605      ,1829      ,1773      ,1757      ,1575      ,1777      ,1646      ,1265      ,1083      ,931       ,900       ,801       ,706       ,541       ,387       ,280       ,186       ,169       
5101           ,26957          ,13706     ,13251     ,2618      ,2543      ,2521      ,2467      ,2575      ,2362      ,1950      ,1786      ,1547      ,1465      ,1317      ,1124      ,877       ,613       ,512       ,341       ,339       
5107           ,8692           ,4281      ,4411      ,913       ,899       ,878       ,819       ,884       ,715       ,612       ,480       ,445       ,434       ,406       ,341       ,279       ,208       ,167       ,106       ,106       
5113           ,6566           ,3480      ,3086      ,680       ,646       ,612       ,620       ,575       ,573       ,420       ,397       ,340       ,351       ,344       ,302       ,227       ,181       ,130       ,80        ,88        
5120           ,38850          ,19424     ,19426     ,5156      ,4747      ,4514      ,4048      ,3566      ,3367      ,3078      ,2633      ,1956      ,1523      ,1344      ,956       ,682       ,479       ,343       ,222       ,236       
5125           ,8275           ,4292      ,3983      ,993       ,846       ,806       ,953       ,705       ,695       ,548       ,419       ,383       ,410       ,333       ,343       ,276       ,187       ,174       ,99        ,105       
5129           ,78756          ,39003     ,39753     ,5666      ,5851      ,6142      ,6278      ,7056      ,6542      ,6695      ,6650      ,5950      ,5337      ,4585      ,3698      ,2779      ,1952      ,1511      ,1071      ,993       
5134           ,9035           ,4647      ,4388      ,913       ,882       ,826       ,826       ,800       ,706       ,569       ,497       ,450       ,473       ,520       ,477       ,369       ,294       ,172       ,123       ,138       
5138           ,16751          ,8603      ,8148      ,1924      ,1823      ,1621      ,1654      ,1550      ,1239      ,847       ,778       ,703       ,766       ,764       ,768       ,658       ,502       ,406       ,345       ,403       
5142           ,4569           ,2333      ,2236      ,450       ,420       ,400       ,432       ,417       ,391       ,291       ,261       ,223       ,265       ,282       ,217       ,165       ,132       ,89        ,66        ,68        
5145           ,5340           ,2774      ,2566      ,435       ,470       ,465       ,400       ,381       ,372       ,283       ,303       ,295       ,324       ,333       ,336       ,312       ,231       ,162       ,111       ,127       
5147           ,57220          ,28693     ,28527     ,7003      ,6375      ,6074      ,5903      ,5911      ,4916      ,4292      ,3842      ,3306      ,2673      ,2200      ,1543      ,1155      ,820       ,552       ,344       ,311       
5148           ,47340          ,24111     ,23229     ,4850      ,4680      ,4599      ,4419      ,4817      ,4339      ,3417      ,3031      ,2631      ,2507      ,2183      ,1750      ,1370      ,968       ,774       ,484       ,521       
5150           ,3583           ,1808      ,1775      ,295       ,290       ,302       ,269       ,315       ,287       ,254       ,240       ,205       ,190       ,191       ,174       ,151       ,135       ,109       ,80        ,96        
5154           ,114902         ,55636     ,59266     ,12515     ,11752     ,11359     ,11846     ,11498     ,10159     ,8537      ,7618      ,6642      ,6018      ,5142      ,3452      ,2774      ,2099      ,1550      ,991       ,950       
5172           ,78148          ,39250     ,38898     ,9571      ,8723      ,8324      ,8099      ,8128      ,6755      ,5861      ,5199      ,4440      ,3597      ,2988      ,2111      ,1583      ,1119      ,755       ,470       ,425       
5190           ,8998           ,4504      ,4494      ,741       ,760       ,731       ,735       ,727       ,711       ,557       ,524       ,491       ,546       ,579       ,505       ,409       ,316       ,235       ,195       ,236       
5197           ,14964          ,7450      ,7514      ,1266      ,1270      ,1165      ,1191      ,1189      ,977       ,706       ,752       ,712       ,813       ,927       ,892       ,874       ,702       ,574       ,448       ,506       
52001          ,445409         ,215188    ,230221    ,31042     ,32740     ,35233     ,38408     ,38268     ,37746     ,38788     ,35208     ,29838     ,29548     ,26444     ,20970     ,16197     ,12463     ,9384      ,6487      ,6645      
52019          ,22422          ,11375     ,11047     ,1785      ,1856      ,1971      ,2125      ,1973      ,1720      ,1485      ,1397      ,1269      ,1266      ,1237      ,1062      ,968       ,771       ,596       ,448       ,493       
52022          ,6004           ,2898      ,3106      ,442       ,447       ,465       ,477       ,444       ,452       ,435       ,451       ,402       ,432       ,371       ,305       ,263       ,204       ,158       ,120       ,136       
52036          ,6905           ,3591      ,3314      ,504       ,528       ,562       ,599       ,539       ,517       ,531       ,535       ,457       ,456       ,389       ,315       ,273       ,234       ,179       ,133       ,154       
52051          ,7558           ,3962      ,3596      ,555       ,558       ,597       ,653       ,567       ,567       ,626       ,534       ,484       ,510       ,466       ,424       ,272       ,222       ,193       ,162       ,168       
5206           ,3375           ,1729      ,1646      ,244       ,244       ,231       ,242       ,265       ,240       ,215       ,211       ,199       ,232       ,229       ,203       ,185       ,115       ,112       ,93        ,115       
52079          ,38708          ,19540     ,19168     ,5372      ,5063      ,4871      ,4462      ,3820      ,3069      ,2563      ,2178      ,1680      ,1498      ,1209      ,934       ,647       ,450       ,326       ,279       ,287       
52083          ,7612           ,3857      ,3755      ,511       ,529       ,544       ,602       ,621       ,514       ,554       ,503       ,584       ,578       ,507       ,393       ,333       ,271       ,250       ,152       ,166       
5209           ,20565          ,10599     ,9966      ,2163      ,2100      ,2091      ,1880      ,1984      ,1827      ,1469      ,1224      ,1131      ,1032      ,926       ,812       ,677       ,462       ,340       ,225       ,222       
52110          ,25362          ,13001     ,12361     ,2242      ,2198      ,2173      ,2228      ,2113      ,1934      ,1795      ,1763      ,1542      ,1515      ,1265      ,1074      ,894       ,876       ,674       ,515       ,561       
5212           ,71035          ,34247     ,36788     ,4742      ,5040      ,5154      ,6076      ,6259      ,5578      ,5099      ,4835      ,4337      ,5016      ,5183      ,4318      ,3110      ,2275      ,1641      ,1166      ,1206      
52203          ,10168          ,5358      ,4810      ,858       ,868       ,863       ,1017      ,909       ,858       ,796       ,715       ,526       ,535       ,469       ,380       ,330       ,328       ,259       ,214       ,243       
52207          ,9296           ,4615      ,4681      ,725       ,745       ,761       ,806       ,725       ,609       ,693       ,685       ,628       ,604       ,506       ,401       ,337       ,332       ,298       ,206       ,235       
52210          ,6973           ,3565      ,3408      ,732       ,713       ,723       ,692       ,598       ,537       ,448       ,406       ,364       ,332       ,277       ,258       ,229       ,227       ,166       ,124       ,147       
52215          ,14037          ,7020      ,7017      ,1140      ,1113      ,1094      ,1169      ,1225      ,1172      ,1139      ,1115      ,1004      ,936       ,784       ,608       ,456       ,350       ,288       ,214       ,230       
52224          ,8645           ,4395      ,4250      ,875       ,837       ,837       ,815       ,711       ,649       ,544       ,503       ,464       ,441       ,382       ,359       ,317       ,314       ,229       ,170       ,198       
52227          ,38349          ,19125     ,19224     ,3441      ,3432      ,3496      ,3544      ,3348      ,3034      ,3158      ,2685      ,2477      ,2323      ,1764      ,1382      ,1231      ,1063      ,806       ,553       ,612       
52233          ,15681          ,8022      ,7659      ,1647      ,1605      ,1625      ,1561      ,1344      ,1208      ,1004      ,912       ,816       ,742       ,625       ,581       ,516       ,513       ,374       ,277       ,331       
52240          ,13876          ,7070      ,6806      ,1198      ,1211      ,1216      ,1368      ,1248      ,1131      ,1066      ,1001      ,833       ,724       ,617       ,515       ,484       ,406       ,347       ,246       ,265       
52250          ,38207          ,19582     ,18625     ,5454      ,4780      ,4481      ,4436      ,3827      ,3266      ,2728      ,2467      ,1811      ,1297      ,995       ,774       ,610       ,464       ,279       ,269       ,269       
52254          ,6468           ,3385      ,3083      ,534       ,542       ,568       ,570       ,522       ,507       ,540       ,443       ,388       ,391       ,350       ,268       ,217       ,208       ,161       ,115       ,144       
52256          ,10063          ,5308      ,4755      ,976       ,927       ,930       ,983       ,898       ,900       ,937       ,777       ,595       ,524       ,403       ,337       ,270       ,193       ,173       ,118       ,122       
52258          ,12630          ,6497      ,6133      ,1179      ,1158      ,1160      ,1381      ,1137      ,943       ,912       ,813       ,720       ,694       ,549       ,464       ,425       ,367       ,290       ,210       ,228       
52260          ,12086          ,5920      ,6166      ,998       ,1012      ,1042      ,1100      ,1092      ,961       ,876       ,834       ,766       ,744       ,645       ,532       ,428       ,341       ,284       ,211       ,220       
52287          ,6452           ,3384      ,3068      ,556       ,542       ,546       ,573       ,500       ,463       ,498       ,458       ,385       ,346       ,329       ,265       ,246       ,240       ,201       ,142       ,162       
52317          ,15542          ,7771      ,7771      ,1027      ,1081      ,1139      ,1351      ,1309      ,1297      ,1196      ,1165      ,1132      ,1143      ,897       ,696       ,625       ,480       ,391       ,295       ,318       
52320          ,11845          ,6030      ,5815      ,889       ,904       ,920       ,1088      ,1047      ,947       ,808       ,735       ,695       ,722       ,687       ,610       ,481       ,430       ,357       ,257       ,268       
52323          ,5773           ,2794      ,2979      ,435       ,444       ,463       ,483       ,482       ,434       ,388       ,390       ,390       ,380       ,320       ,275       ,226       ,195       ,175       ,145       ,148       
5234           ,23280          ,12121     ,11159     ,2776      ,2404      ,2248      ,2510      ,1930      ,1945      ,1469      ,1254      ,1164      ,1092      ,1023      ,989       ,826       ,557       ,460       ,313       ,320       
52352          ,8786           ,4563      ,4223      ,720       ,697       ,694       ,751       ,793       ,741       ,713       ,619       ,560       ,523       ,470       ,379       ,318       ,257       ,212       ,165       ,174       
52354          ,6131           ,3029      ,3102      ,513       ,507       ,510       ,543       ,478       ,435       ,411       ,407       ,324       ,335       ,340       ,316       ,250       ,244       ,196       ,156       ,166       
52356          ,141863         ,69925     ,71938     ,12105     ,12472     ,13257     ,12678     ,11767     ,10939     ,10851     ,10372     ,8963      ,8985      ,7666      ,6270      ,4775      ,3751      ,2829      ,2010      ,2173      
5237           ,22726          ,11010     ,11716     ,2158      ,2171      ,2220      ,2169      ,2298      ,2095      ,1795      ,1573      ,1337      ,1116      ,973       ,858       ,690       ,444       ,360       ,235       ,234       
52378          ,18249          ,9620      ,8629      ,1318      ,1432      ,1528      ,1511      ,1619      ,1598      ,1471      ,1364      ,1090      ,1115      ,949       ,836       ,663       ,598       ,441       ,348       ,368       
52381          ,9454           ,4748      ,4706      ,744       ,772       ,795       ,784       ,777       ,741       ,738       ,660       ,531       ,535       ,503       ,477       ,390       ,340       ,262       ,189       ,216       
52385          ,5726           ,2982      ,2744      ,518       ,563       ,606       ,487       ,500       ,435       ,404       ,345       ,347       ,315       ,260       ,243       ,194       ,174       ,101       ,118       ,116       
52390          ,13112          ,6841      ,6271      ,1994      ,1795      ,1640      ,1515      ,1248      ,1125      ,753       ,709       ,562       ,416       ,358       ,292       ,202       ,183       ,118       ,93        ,109       
52399          ,25886          ,13186     ,12700     ,2047      ,2079      ,2138      ,2303      ,2198      ,2048      ,1873      ,1822      ,1622      ,1568      ,1465      ,1212      ,1041      ,815       ,629       ,472       ,554       
5240           ,12510          ,6370      ,6140      ,1201      ,1155      ,1109      ,1114      ,1223      ,1131      ,875       ,738       ,686       ,636       ,645       ,515       ,444       ,347       ,321       ,184       ,186       
52405          ,14064          ,7333      ,6731      ,1739      ,1650      ,1641      ,1310      ,1112      ,1057      ,1008      ,910       ,692       ,660       ,539       ,488       ,387       ,299       ,219       ,171       ,182       
52411          ,9879           ,5073      ,4806      ,751       ,771       ,804       ,869       ,725       ,763       ,824       ,749       ,619       ,516       ,493       ,404       ,391       ,367       ,311       ,239       ,283       
52418          ,19772          ,9978      ,9794      ,2875      ,2735      ,2653      ,2353      ,1742      ,1206      ,1009      ,870       ,690       ,609       ,546       ,427       ,533       ,452       ,351       ,341       ,380       
52427          ,23136          ,12485     ,10651     ,3031      ,2764      ,2692      ,2526      ,2241      ,1787      ,1498      ,1342      ,1026      ,955       ,852       ,616       ,563       ,446       ,287       ,256       ,254       
52435          ,7608           ,3932      ,3676      ,841       ,827       ,852       ,789       ,668       ,577       ,505       ,427       ,388       ,321       ,294       ,264       ,243       ,186       ,157       ,124       ,145       
52473          ,16769          ,8576      ,8193      ,2363      ,2220      ,2122      ,1808      ,1675      ,1516      ,1162      ,987       ,781       ,569       ,378       ,300       ,270       ,199       ,137       ,138       ,144       
52480          ,4934           ,2483      ,2451      ,381       ,403       ,433       ,406       ,428       ,427       ,404       ,336       ,316       ,314       ,289       ,201       ,174       ,146       ,112       ,79        ,85        
52490          ,31593          ,16842     ,14751     ,4451      ,4057      ,3981      ,3859      ,2981      ,2593      ,2222      ,1876      ,1317      ,1132      ,829       ,645       ,526       ,405       ,225       ,261       ,233       
5250           ,49913          ,26494     ,23419     ,5696      ,5238      ,5222      ,5011      ,5222      ,4571      ,4051      ,3323      ,2689      ,2337      ,1680      ,1398      ,1186      ,822       ,653       ,403       ,411       
52506          ,8757           ,4588      ,4169      ,642       ,648       ,690       ,756       ,657       ,654       ,728       ,617       ,560       ,591       ,540       ,493       ,316       ,261       ,221       ,189       ,194       
52520          ,15497          ,8467      ,7030      ,2019      ,1869      ,1819      ,1680      ,1481      ,1184      ,1003      ,902       ,687       ,634       ,565       ,411       ,383       ,308       ,200       ,177       ,175       
52540          ,17159          ,9055      ,8104      ,1664      ,1580      ,1587      ,1676      ,1530      ,1537      ,1597      ,1324      ,1014      ,894       ,687       ,576       ,461       ,328       ,295       ,201       ,208       
52560          ,12034          ,6223      ,5811      ,882       ,853       ,835       ,1004      ,970       ,982       ,1056      ,981       ,853       ,789       ,617       ,493       ,471       ,407       ,348       ,234       ,259       
52565          ,13413          ,6730      ,6683      ,1283      ,1321      ,1354      ,1225      ,1006      ,881       ,751       ,700       ,644       ,611       ,549       ,582       ,604       ,656       ,479       ,355       ,412       
52573          ,8319           ,4065      ,4254      ,658       ,675       ,692       ,658       ,644       ,609       ,554       ,572       ,503       ,515       ,455       ,393       ,344       ,322       ,262       ,215       ,248       
52585          ,19480          ,9652      ,9828      ,1419      ,1442      ,1504      ,1547      ,1453      ,1501      ,1461      ,1513      ,1329      ,1413      ,1188      ,961       ,815       ,634       ,495       ,377       ,428       
52612          ,19079          ,9817      ,9262      ,2340      ,2160      ,2127      ,2179      ,1826      ,1529      ,1418      ,1273      ,845       ,759       ,575       ,509       ,436       ,381       ,251       ,237       ,234       
52621          ,23287          ,12060     ,11227     ,3155      ,2773      ,2687      ,2434      ,2029      ,1883      ,1713      ,1502      ,1221      ,979       ,809       ,523       ,493       ,392       ,297       ,198       ,199       
5264           ,10102          ,5300      ,4802      ,942       ,924       ,939       ,865       ,956       ,927       ,825       ,747       ,665       ,540       ,488       ,370       ,309       ,228       ,160       ,107       ,110       
5266           ,227644         ,109645    ,117999    ,15930     ,16580     ,17118     ,18347     ,18887     ,19143     ,18200     ,16208     ,13966     ,15718     ,16266     ,13434     ,10086     ,7177      ,4368      ,3014      ,3202      
52678          ,49453          ,24872     ,24581     ,4396      ,4369      ,4486      ,4767      ,4210      ,3997      ,3343      ,3561      ,2821      ,3048      ,2377      ,2159      ,1732      ,1517      ,1061      ,782       ,827       
52683          ,25709          ,13378     ,12331     ,1880      ,1963      ,2092      ,2229      ,2008      ,1935      ,1975      ,1992      ,1703      ,1696      ,1447      ,1172      ,1017      ,871       ,664       ,494       ,571       
52685          ,19764          ,10356     ,9408      ,1450      ,1461      ,1560      ,1703      ,1483      ,1478      ,1638      ,1393      ,1265      ,1334      ,1218      ,1108      ,716       ,590       ,504       ,426       ,437       
52687          ,20002          ,10698     ,9304      ,1840      ,1750      ,1683      ,1823      ,1721      ,1640      ,1600      ,1437      ,1169      ,1130      ,949       ,842       ,707       ,583       ,458       ,312       ,358       
52693          ,17403          ,9173      ,8230      ,1258      ,1367      ,1459      ,1442      ,1544      ,1524      ,1402      ,1300      ,1038      ,1063      ,905       ,797       ,632       ,570       ,421       ,331       ,350       
52694          ,7588           ,4022      ,3566      ,739       ,724       ,725       ,690       ,616       ,603       ,598       ,594       ,424       ,372       ,305       ,269       ,243       ,212       ,171       ,149       ,154       
52696          ,14688          ,7544      ,7144      ,2182      ,1942      ,1825      ,1575      ,1405      ,1221      ,1017      ,832       ,540       ,390       ,365       ,266       ,348       ,332       ,166       ,144       ,138       
52699          ,29065          ,14766     ,14299     ,3079      ,2954      ,2973      ,2876      ,2498      ,2263      ,1902      ,1724      ,1526      ,1372      ,1146      ,1062      ,944       ,944       ,688       ,506       ,608       
52720          ,6237           ,3105      ,3132      ,503       ,543       ,612       ,471       ,522       ,451       ,456       ,415       ,389       ,384       ,330       ,272       ,245       ,211       ,181       ,122       ,130       
52786          ,20902          ,10805     ,10097     ,1623      ,1611      ,1629      ,1706      ,1846      ,1833      ,1889      ,1642      ,1492      ,1278      ,1074      ,843       ,735       ,586       ,439       ,301       ,375       
52788          ,9506           ,4745      ,4761      ,752       ,769       ,796       ,874       ,815       ,727       ,677       ,651       ,569       ,589       ,528       ,408       ,359       ,300       ,274       ,202       ,216       
5282           ,21426          ,10864     ,10562     ,1816      ,1840      ,1868      ,1838      ,2001      ,1893      ,1595      ,1420      ,1287      ,1238      ,1150      ,987       ,783       ,564       ,485       ,330       ,331       
52835          ,203971         ,101856    ,102115    ,25622     ,23801     ,23260     ,20454     ,18799     ,16994     ,15647     ,13854     ,10543     ,9224      ,7271      ,5680      ,4185      ,3152      ,2132      ,1630      ,1723      
52838          ,40496          ,20012     ,20484     ,3292      ,3354      ,3448      ,3639      ,3621      ,3214      ,2940      ,2812      ,2588      ,2506      ,2155      ,1781      ,1472      ,1201      ,992       ,738       ,743       
5284           ,16311          ,8467      ,7844      ,1853      ,1735      ,1635      ,1614      ,1591      ,1408      ,1063      ,877       ,799       ,817       ,668       ,661       ,551       ,341       ,293       ,202       ,203       
52885          ,11064          ,5503      ,5561      ,908       ,906       ,907       ,1030      ,941       ,854       ,963       ,810       ,717       ,629       ,523       ,459       ,365       ,334       ,290       ,211       ,217       
5306           ,4009           ,2043      ,1966      ,407       ,396       ,357       ,384       ,381       ,334       ,230       ,217       ,196       ,190       ,212       ,183       ,162       ,110       ,98        ,71        ,81        
5308           ,55490          ,27339     ,28151     ,4708      ,4733      ,4895      ,5014      ,5246      ,5036      ,4658      ,4102      ,3415      ,3065      ,2649      ,2284      ,1886      ,1360      ,943       ,719       ,777       
5310           ,12964          ,6774      ,6190      ,1148      ,1072      ,1061      ,1107      ,1121      ,1014      ,1027      ,911       ,869       ,852       ,833       ,655       ,438       ,322       ,218       ,169       ,147       
5313           ,9866           ,4949      ,4917      ,911       ,855       ,821       ,870       ,883       ,841       ,631       ,558       ,494       ,534       ,582       ,548       ,427       ,319       ,222       ,175       ,195       
5315           ,6306           ,3181      ,3125      ,524       ,513       ,531       ,473       ,553       ,502       ,446       ,420       ,358       ,336       ,337       ,306       ,264       ,235       ,196       ,142       ,170       
5318           ,48659          ,24387     ,24272     ,4625      ,4487      ,4499      ,4267      ,4588      ,4202      ,3715      ,3406      ,3089      ,2808      ,2394      ,1998      ,1612      ,1074      ,816       ,528       ,551       
5321           ,5231           ,2590      ,2641      ,430       ,431       ,430       ,440       ,447       ,424       ,379       ,342       ,297       ,336       ,337       ,290       ,220       ,165       ,108       ,74        ,81        
5347           ,5837           ,3055      ,2782      ,573       ,565       ,555       ,500       ,546       ,516       ,366       ,321       ,303       ,336       ,289       ,246       ,201       ,179       ,140       ,100       ,101       
5353           ,4874           ,2501      ,2373      ,397       ,395       ,379       ,405       ,391       ,344       ,295       ,342       ,270       ,290       ,277       ,247       ,236       ,194       ,147       ,126       ,139       
5360           ,270903         ,132151    ,138752    ,20643     ,20375     ,21489     ,23143     ,25294     ,23491     ,23636     ,22185     ,19933     ,17238     ,15047     ,11847     ,8926      ,6429      ,4835      ,3359      ,3033      
5361           ,20628          ,10667     ,9961      ,2797      ,2519      ,2274      ,2092      ,1856      ,1469      ,1156      ,1016      ,886       ,889       ,844       ,707       ,588       ,505       ,407       ,300       ,323       
5364           ,13673          ,6897      ,6776      ,1333      ,1284      ,1280      ,1139      ,1211      ,1140      ,940       ,859       ,755       ,763       ,715       ,589       ,537       ,375       ,296       ,217       ,240       
5368           ,12016          ,5910      ,6106      ,1052      ,1038      ,1032      ,1030      ,1132      ,1118      ,865       ,707       ,747       ,731       ,654       ,533       ,433       ,308       ,266       ,185       ,185       
5376           ,53361          ,26593     ,26768     ,4563      ,4574      ,4688      ,4764      ,5226      ,4867      ,4267      ,3846      ,3457      ,3022      ,2645      ,2157      ,1681      ,1197      ,1073      ,675       ,659       
5380           ,63335          ,31048     ,32287     ,5116      ,5108      ,5294      ,5503      ,5921      ,5747      ,5286      ,5107      ,4388      ,3668      ,3192      ,2680      ,2091      ,1505      ,1115      ,784       ,830       
5390           ,6507           ,3237      ,3270      ,599       ,592       ,586       ,559       ,614       ,533       ,457       ,385       ,374       ,378       ,333       ,305       ,244       ,177       ,148       ,110       ,113       
