"k","k_scale","rho","dispersion","tm_ini","loc_ini","tm_ini2","loc_ini2","sn1","sn2","sn3"
219.61367421752,0.860514068033837,0.359568537692288,0.356957593070168,64,11,135,30,27.5580103827106,2.95310797645334,0.0982683444599156
208.267833143561,2.34202004621473,0.0418467044773306,0.300901049515232,68,15,96,20,28.2663562119973,3.79439281141461,-0.526474695000781
240.911345634424,1.64585589823316,0.0442543835279356,0.171053164833476,82,29,99,30,29.0572519197856,3.60250208632453,-0.502314688316575
234.960160548717,2.47689218340632,0.0570874443100119,0.28419541118546,67,25,111,31,27.9614433963571,3.58514179566984,-0.432212581451788
237.375714036563,1.06574481430905,0.0364393463671565,0.347633913857862,53,16,63,1,28.0221118526275,3.63973606426555,-0.369194855088524
189.543414670899,7.33726643551939,0.183528289561055,0.266021795105189,51,16,56,21,29.3655091220717,3.3085657450377,-0.365215075832147
201.7540869013,2.43910404828145,0.0608456843340512,0.356432666020416,60,2,50,24,29.2386800710854,4.03482033542332,-1.04873306475794
217.78890012661,1.38492404019898,0.488327905156132,0.162615070592041,71,11,75,18,26.6064690621452,2.86801751915031,0.517279875810512
298.763519155107,3.35789320349931,0.281479661584804,0.634659827221185,78,16,108,6,29.0191671697645,3.31083138567811,-0.459322697091428
189.700020862359,1.40914748593829,0.391233899204096,0.392524808290672,54,29,51,1,26.4805178020776,3.48650231741416,0.100684623332272
214.324948173293,1.43719874125009,0.178172961150164,0.37774553603048,74,12,143,25,25.9079293588921,2.82202993226476,0.904589888394427
232.295803510772,4.38086925205344,0.018639983183986,0.583202834473923,71,7,105,31,28.1795681975967,3.245653963775,-0.247136040830974
251.419114938162,1.36329103140903,0.107431129216477,0.211818913929164,55,6,106,7,28.4247484225528,3.70358962668961,-0.365432649265125
291.658763728331,0.548736817393433,0.90403214962641,0.404444799793283,61,4,68,13,29.4206725071056,3.83664245582948,-0.871670591265495
326.99679575559,2.12706099536322,0.453310742538591,0.759468052070588,82,30,99,20,28.4345920837375,3.53420508807223,-0.285890546378651
318.462705632071,1.55816316389671,0.373631576027094,0.379338270453231,79,20,133,7,29.0653937755857,3.68594725994577,-0.630801595464124
245.83115880192,1.14175626713841,0.112189416768354,0.361534442953885,70,20,135,14,27.6649836967971,3.00724385894385,0.0989735122153417
227.099914908109,2.21284895093863,0.058737438365251,0.315420964267105,54,16,121,23,28.6364650794174,3.64796057960956,-0.52694828005477
229.535668172651,3.2337372115736,0.142092413918065,0.513256041798741,79,6,134,32,28.676696653643,3.68938236350322,-0.515378780824858
160.628695226114,2.71147968090936,0.663237603418935,0.366253512911499,75,26,109,23,28.8633499806766,3.94532467116389,-0.815850048610165
219.03467433707,1.84217507075015,0.0517327299892533,0.973690712591633,62,23,63,17,29.2983328352358,3.41690094554738,-0.748285623821132
235.473305876834,1.9986519697368,0.286583755902174,0.781310871243477,58,26,90,5,26.6487610257505,2.7573218781695,0.61154865400319
128.580973912375,1.97773962561853,0.19973039795602,0.952971684047952,64,21,97,12,29.9906448487068,4.43690246504285,-1.3225502296369
231.848906277235,2.16279648260497,0.0622215168731085,0.288086645537987,62,18,109,17,28.6133957355217,3.45206662029819,-0.412602864427556
179.335759328778,2.88290557276325,0.226439461437967,0.309763886390326,80,13,107,30,27.3111770264689,3.17943031351024,-0.0203085902413056
221.733661276185,3.38163994266767,0.0947153518301546,0.351008183568288,77,24,114,26,29.1492111429891,3.48036185323029,-0.58800797584126
182.79147901436,1.16169572734315,0.964991757720717,0.680608340655977,81,28,51,24,28.9378286236091,3.42528357564736,-0.350743633854897
205.282240327047,1.06949701814362,0.0407835918623239,0.183431801386178,74,23,85,15,29.6641849144019,3.80659455361106,-1.03127404496179
212.21989949353,1.03232627524931,0.239987251441614,0.344375608743286,61,16,75,32,27.3839707137228,3.56227481476054,-0.307607521815616
244.577301697645,3.36647287698765,0.248279581082267,0.442249521345948,56,10,52,32,29.0776228371502,3.58119907504997,-0.734188195392589
265.05264818841,6.27840952216236,0.0130403194861745,0.202772340271622,53,16,92,10,29.668245171874,3.95671869667655,-0.916990063762061
212.477225367496,2.67222566838803,0.317235216688609,0.562496961792931,61,22,58,19,28.1428628137056,3.23640667683653,-0.191009409154392
176.877979782115,1.20909209439427,0.362681126710444,0.162020138787862,51,3,126,18,28.8163751602255,3.86537319253769,-0.916684997297616
159.994814454788,2.18815576391931,0.322113563061063,0.183308996492997,60,1,122,1,29.3939255762814,3.53948248896763,-0.612233977917787
283.847662411919,0.980318560956945,0.487057418899099,0.648392759030685,79,7,72,11,28.778530731421,2.85861599585242,-0.0324700772405111
