"k","rho","dispersion","tm_ini","tm_ini2"
3.21451880245657,0.445276529102472,0.733356466516852,77,80
1.17690674243482,0.0453672221319406,0.675457935081795,66,125
1.2587756747936,0.61410780559045,0.0291843141614947,67,123
2.2639228614887,0.0401509944672266,0.998096162220463,70,84
3.29486779748047,0.457644692482947,0.372086406685412,70,125
1.63848324270496,0.289788738279882,0.98193714232184,69,60
2.54190812527961,0.269304139565202,0.547622401500121,64,118
3.7180604232049,0.209198432114308,0.430120384618771,63,66
5.11082158538673,0.0200698332836133,0.401521399850026,85,140
3.53629786832523,0.0179663402419579,0.869048397988081,67,124
2.32398443420516,0.777002911591246,0.568000800674781,79,89
2.2560247207547,0.164589286833346,0.0732120319735259,82,129
5.36953710676447,0.0973989502029274,0.400916089536622,74,125
3.22059039604825,0.0121221288145905,0.175802643643692,73,71
1.94585077058823,0.18522121849932,0.442430240800604,72,107
0.496322843010341,0.0129980098571107,0.390548518160358,82,59
5.65231143687664,0.0228494458789226,0.791917850263417,79,85
3.55733134352468,0.612013868727933,0.90732785500586,78,121
1.85218742835311,0.806868326300743,0.658094942336902,78,120
5.76406836377274,0.321026476664278,0.379099246580154,92,76
2.21244929354163,0.0293468356966411,0.147275781090556,74,95
2.93206001041278,0.269209228114843,0.792281036730856,70,140
0.444466832810144,0.0643443549540447,0.182993235299364,67,94
5.31231381658614,0.204030221140589,0.572298136074096,90,143
3.50851960333827,0.0191818024590043,0.0903551939409226,79,68
4.85783304311301,0.586917919950663,0.656272117979825,68,121
6.35559130328825,0.539998045581394,0.205099894665182,65,110
5.22227306229815,0.526456931569639,0.0579991796985269,59,83
1.9692435354651,0.472225259547895,0.0648910605814308,76,82
2.36288355742084,0.641285639499365,0.273961853934452,68,59
1.97925602967835,0.310927132702353,0.581546728801125,84,118
12.1831315740635,0.0132274092033222,0.329657677314285,76,101
6.91860461518514,0.0117164884800869,0.907253737328574,74,129
2.70299172527978,0.00040323465510689,0.512681803433225,82,85
3.38926703236249,0.145511767302401,0.684665194479749,70,116
8.09788254731356,0.140265769932234,0.652304445626214,92,75
7.52036105607233,0.449994485092811,0.299457220360637,88,109
4.56658016301021,0.0153793206379892,0.159578673075885,91,99
6.38523193767483,0.105863349191033,0.092956505715847,80,74
2.61938348075404,0.161080252628382,0.0915523078292608,58,78
