"k","rho","dispersion","tm_ini","loc_ini","tm_ini2","loc_ini2"
3.08195736886617,0.854164442932901,0.712769119534642,78,12,53,16
1.50460829801546,0.0028420648838996,0.0916913591790944,61,2,75,24
2.36684479521218,0.0681141176752675,0.856529315933585,74,12,123,22
1.74296946018446,0.148912598284989,0.871731052175164,53,25,132,20
2.90713384167675,0.0567730954914448,0.663877851329744,63,21,86,28
1.94170232310523,0.185719358748681,0.53365209302865,75,8,124,2
1.96702877715894,0.00228166492869275,1.25564016819909,52,16,96,27
2.96907189605223,0.124707702369465,0.754330446477979,59,12,121,4
1.17101063860409,0.260976429020659,0.885299774818122,54,5,139,3
7.08516476300956,0.0151866504402056,0.659890895942226,76,10,61,5
2.15073335874325,0.00952417546841306,0.781226348597556,73,29,58,13
0.683836762844138,0.0277086825725697,0.704937623813748,59,13,58,22
6.21558130154867,0.0216150674288036,0.277144049294293,79,31,99,4
4.98372982675154,0.238968552067597,0.244331196649,56,5,79,10
4.71091721791019,0.0118387870237782,0.521629014750943,51,4,80,15
0.52680943041579,0.468527840551851,0.709599670515804,64,29,112,25
1.41567694190131,0.00194381910292032,0.40063885105144,61,21,71,25
2.50864996529525,0.0226456322257691,0.897948673693463,59,23,123,19
1.60737712339452,0.163745640896267,0.664922495372593,78,9,53,26
2.67336415433799,0.00321221173752875,0.61924179433845,71,27,124,30
2.00217108740976,0.140844950574586,0.94662351324223,52,25,101,1
3.43924839515465,0.223740282587128,0.0888847005553544,66,22,82,17
3.02496202751659,0.00724835235391385,0.551637066993862,63,6,121,12
1.80735758279371,0.00560527999655899,0.850942311808467,81,5,74,6
1.47553664651318,0.0158051233183076,0.401816524798051,69,24,57,21
2.09188799988922,0.0839323855146391,0.139886868419126,55,24,72,20
4.47286771677245,0.105138037024316,0.753791164971406,61,21,73,7
1.02979562816062,0.114369888397044,0.72063515195623,53,27,130,32
4.17637303700846,0.703767026464142,0.996455681277439,62,27,74,21
2.37022214818133,0.760607357262535,0.749360245186836,67,29,98,7
8.61957024005625,0.00107572641236893,0.785947717260569,77,9,86,22
