"k","k_scale","rho","dispersion","tm_ini","loc_ini","sn1","sn2","sn3"
242.11794400657,0.593116203408143,0.650940197588238,0.209337703998529,76,10,27.063243608735,2.61603768985461,0.418965780686403
209.849238287449,1.68269526987566,0.398829081834894,0.268219309626147,55,31,29.0511331814378,3.99576537724789,-0.984183680565358
266.808191922182,2.13383286268865,0.0130048031054855,0.14427222050274,79,4,27.7052384757521,3.24910734864594,0.160815042613473
123.383277998786,1.35555559370716,0.772956390305323,0.275051092532271,74,7,27.9659442407376,4.21979307460813,-0.7988435014533
282.811160203975,1.34359722547346,0.0684245428825914,0.600792142795399,55,16,28.5404760039783,3.05293111720499,-0.153892420344779
164.199166706159,1.7992588317602,0.08563572974967,0.151594361562123,79,22,28.2427952995635,3.58636051276659,-0.373700897814784
330.563769957634,1.2369189603404,0.53783713121649,0.315724737282472,60,11,27.7532799961733,3.70898683381615,-0.365137455555186
190.662454987934,1.2489303877929,0.311529137735593,0.49974125240671,79,9,28.6289532558624,3.57221151547017,-0.569167676766878
227.867884473399,1.61370416042755,0.52000990573469,0.0529132822122707,63,11,29.959930026407,3.47800221228966,-0.67640253660115
184.061443122272,2.96815628198962,0.0588393795076507,0.129339654497839,82,26,29.7569448293445,3.82074937709956,-0.869586621383439
212.107671184059,1.98626847210742,0.0269577276351904,0.401503505860811,69,4,30.1026068892489,3.71393157765247,-0.884679839675033
207.670949214566,1.11755903051864,0.0206536744324068,0.767179017886519,55,6,27.725326023945,3.43159379383581,-0.311756708678415
294.73974314377,1.77359848057251,0.0764156238292694,0.0991064246581603,53,30,28.6941264477196,3.82905312097946,-0.677653701333311
266.808191922182,2.13383286268865,0.0130048031054855,0.14427222050274,79,4,27.7052384757521,3.24910734864594,0.160815042613473
139.790180036951,3.01724344933876,0.113073331591452,0.115139027546631,77,20,28.6966368727102,4.01104398471236,-0.844563240428819
225.767079681637,2.33931634344827,0.180978067391118,0.267587701978686,63,17,28.3590804020589,4.15828049498557,-0.454060230632398
167.866271455685,2.67031773603521,0.0567503585946617,0.43137596089129,74,7,28.9179649447699,3.97515233860658,-0.855898834372599
217.654026180734,2.77665903688897,0.0361979379491858,0.930908031994477,64,23,29.3609605074069,3.57714632423269,-0.648224609235539
287.604702199503,2.72804361322517,0.00325845827923382,0.210338088936744,61,14,26.8229815736372,3.1110265053647,0.174175110441855
278.06849168872,0.619273125118268,0.436398265250238,0.503392033110609,79,22,29.6297817851761,4.06249318274264,-0.936757686372942
250.147766335075,3.82420526856702,0.0620475450034696,0.192870766375947,65,29,28.4059964168226,3.09982842042073,-0.236158542728144
225.097569249615,1.17870015538797,0.0620483427471518,0.472836119588464,59,3,27.6089849032492,3.63862877181403,-0.365222231927886
209.779968995241,2.15132222494878,0.0115005712298347,0.333489515075607,63,2,27.837021301657,3.19401823771264,0.00773392511364718
183.971611733697,2.14568738855179,0.143586296724719,0.479504012793889,82,26,28.795891241707,3.14214472942416,-0.290100646447841
317.855111593223,1.49726389733249,0.0309138037980326,0.42646871355031,65,29,28.7657140839237,3.5464137102844,-0.455424134409571
173.013155179728,2.56742485686461,0.0297587488956446,0.912632869556546,59,28,28.2912645351791,3.59472836361512,-0.400259723843479
218.657079164287,4.0246187376122,0.03730721922355,0.121915426386322,53,18,28.4976156425313,3.58833260098551,-0.549980995960316
261.160655178178,1.36924815642232,0.21054595075606,0.163981969984652,73,22,29.5522347347804,3.84781056014757,-0.823004362053267
156.726406585954,2.09744810873909,0.311778363756613,0.212377577963334,65,32,28.1140015493086,3.47639649950428,-0.234230745417825
235.904603197728,1.52071674744796,0.018259873653989,0.182505833816927,64,26,28.8859578385569,3.68671058881886,-0.838930887594146
146.736883917646,2.42134663848625,0.0367249030505014,0.575451282533448,55,22,27.7748586508066,2.7169454947614,0.340635842880561
182.575100845682,4.44336206999058,0.189669281732037,0.268871286503686,70,18,26.4444755929794,2.74969682115821,0.681961847663048
291.332653970776,1.27902047229077,0.0198903919134751,0.43139124624263,53,23,28.0403682512268,3.31585205342974,-0.254634386198179
250.152862892929,1.7607630941333,0.0441233360271715,0.462763683546643,80,32,29.3548095191378,3.68855903090344,-0.654462536537172
236.712235373695,1.0387503108522,0.0214697247379255,0.370060481829569,77,31,29.0521302942423,3.44149275101039,-0.319791354022072
144.168771108353,1.97182600641642,0.116825968297177,0.0855920109977736,60,18,27.9951153051024,3.48926193245976,-0.380921163960818
200.860427862265,5.00774733560379,0.856551722818406,0.272262938135223,58,17,29.2382692332,3.62816703308,-0.758080146885572
149.224043655897,3.1164997298615,0.0164917669998877,0.197559690354509,79,5,28.1214499306386,3.49053821247675,-0.391358246198645
142.232386826238,1.35445982336729,0.299489018750618,0.241257634013891,65,23,27.4480235375734,3.7737740672463,-0.274357556910465
217.590831163759,1.29230950577043,0.0198970031407786,0.220682054191651,70,9,27.8240746715923,3.36975843140883,-0.183194197825987
117.092615472633,1.77749861034567,0.0709952313076776,0.302505967672914,59,13,27.7651668433872,3.46862602629329,-0.173484578424016
174.502653256332,2.29991895027022,0.140523362475451,0.263314198369592,58,29,28.7583347859059,3.71272439431202,-0.791456035760248
197.295609198177,0.302971701808979,0.33208812279131,0.395650950752793,58,19,27.7642379548426,3.58155293758569,-0.326293382176347
183.4149314504,1.79643102971757,0.0436176309957188,0.658616371219978,68,1,27.8433736136932,3.35745339860383,-0.262880046279286
361.077719380309,0.310750137625546,0.741500349196463,0.179313273268567,81,20,27.0305228918175,3.52166671197944,0.0621892826944558
267.576671109472,0.703190795283949,0.119395033100226,0.172255382412744,70,15,28.5312553415618,3.17271362391361,-0.202318930388183
